"dt"	"level"	"Alice"	"Bob"
2014-07-06	2	6490	0
2014-07-06	3	10890	0
2014-07-06	4	14030	0
2014-07-06	5	14380	0
2014-07-06	6	9500	0
2014-07-06	7	10860	0
2014-07-06	8	9600	0
2014-07-06	9	8200	0
2014-07-06	10	6800	0
2014-07-06	11	11620	0
2014-07-06	12	10800	0
2014-07-06	13	6080	0
2014-07-06	14	11200	0
2014-07-06	15	5430	0
2014-07-06	16	6520	0
2014-07-06	17	6220	0
2014-07-06	18	17720	0
2014-07-06	19	13250	0
2014-07-06	20	14460	0
2014-07-06	21	19410	0
2014-07-06	22	11810	0
2014-07-06	23	12880	0
2014-07-06	24	10150	0
2014-07-06	25	9240	0
2014-07-06	26	8380	0
2014-07-06	27	10570	0
2014-07-06	28	12500	0
2014-07-06	29	9560	0
2014-07-06	30	11510	0
2014-07-06	31	13260	0
2014-07-06	32	10720	0
2014-07-06	33	12770	0
2014-07-06	34	12850	0
2014-07-06	35	7590	0
2014-07-06	36	0	0
2014-07-06	37	0	0
2014-07-06	38	0	0
2014-07-06	39	0	0
2014-07-06	40	0	0
2014-07-06	41	0	0
2014-07-06	42	0	0
2014-07-06	43	0	0
2014-07-06	44	0	0
2014-07-06	45	0	0
2014-07-06	46	0	0
2014-07-06	47	0	0
2014-07-06	48	0	0
2014-07-06	49	0	0
2014-07-07	1	7280	0
2014-07-07	2	6490	0
2014-07-07	3	10890	0
2014-07-07	4	14030	0
2014-07-07	5	14380	0
2014-07-07	6	9500	0
2014-07-07	7	10860	0
2014-07-07	8	9600	0
2014-07-07	9	8200	0
2014-07-07	10	6800	0
2014-07-07	11	11620	0
2014-07-07	12	10800	0
2014-07-07	13	6080	0
2014-07-07	14	11200	0
2014-07-07	15	5430	0
2014-07-07	16	8080	0
2014-07-07	17	7780	0
2014-07-07	18	17720	0
2014-07-07	19	13250	0
2014-07-07	20	14460	0
2014-07-07	21	19410	0
2014-07-07	22	11810	0
2014-07-07	23	12880	0
2014-07-07	24	10150	0
2014-07-07	25	9240	0
2014-07-07	26	8380	0
2014-07-07	27	10570	0
2014-07-07	28	12500	0
2014-07-07	29	9560	0
2014-07-07	30	11510	0
2014-07-07	31	13260	0
2014-07-07	32	10720	0
2014-07-07	33	12770	0
2014-07-07	34	12850	0
2014-07-07	35	7590	0
2014-07-07	36	0	0
2014-07-07	37	0	0
2014-07-07	38	0	0
2014-07-07	39	0	0
2014-07-07	40	0	0
2014-07-07	41	0	0
2014-07-07	42	0	0
2014-07-07	43	0	0
2014-07-07	44	0	0
2014-07-07	45	0	0
2014-07-07	46	0	0
2014-07-07	47	0	0
2014-07-07	48	0	0
2014-07-07	49	0	0
2014-07-08	1	8380	0
2014-07-08	2	6490	0
2014-07-08	3	10890	0
2014-07-08	4	14030	0
2014-07-08	5	14380	0
2014-07-08	6	11960	0
2014-07-08	7	10860	0
2014-07-08	8	12160	0
2014-07-08	9	10600	0
2014-07-08	10	9650	0
2014-07-08	11	11620	0
2014-07-08	12	10800	0
2014-07-08	13	8980	0
2014-07-08	14	11200	0
2014-07-08	15	7620	0
2014-07-08	16	9430	0
2014-07-08	17	7780	0
2014-07-08	18	17720	0
2014-07-08	19	13250	0
2014-07-08	20	14460	0
2014-07-08	21	19410	0
2014-07-08	22	11810	0
2014-07-08	23	12880	0
2014-07-08	24	10150	0
2014-07-08	25	9240	0
2014-07-08	26	8380	0
2014-07-08	27	10570	0
2014-07-08	28	12500	0
2014-07-08	29	9560	0
2014-07-08	30	11510	0
2014-07-08	31	13260	0
2014-07-08	32	10720	0
2014-07-08	33	12770	0
2014-07-08	34	12850	0
2014-07-08	35	7590	0
2014-07-08	36	0	0
2014-07-08	37	0	0
2014-07-08	38	0	0
2014-07-08	39	0	0
2014-07-08	40	0	0
2014-07-08	41	0	0
2014-07-08	42	0	0
2014-07-08	43	0	0
2014-07-08	44	0	0
2014-07-08	45	0	0
2014-07-08	46	0	0
2014-07-08	47	0	0
2014-07-08	48	0	0
2014-07-08	49	0	0
2014-07-09	1	8380	0
2014-07-09	2	6490	0
2014-07-09	3	10890	0
2014-07-09	4	14030	0
2014-07-09	5	14380	0
2014-07-09	6	11960	0
2014-07-09	7	10860	0
2014-07-09	8	12160	0
2014-07-09	9	10600	0
2014-07-09	10	9650	0
2014-07-09	11	11620	0
2014-07-09	12	10800	0
2014-07-09	13	8980	0
2014-07-09	14	11200	0
2014-07-09	15	7620	0
2014-07-09	16	10760	0
2014-07-09	17	8380	0
2014-07-09	18	17720	0
2014-07-09	19	13250	0
2014-07-09	20	14460	0
2014-07-09	21	19410	0
2014-07-09	22	11810	0
2014-07-09	23	12880	0
2014-07-09	24	10150	0
2014-07-09	25	9240	0
2014-07-09	26	13750	0
2014-07-09	27	10570	0
2014-07-09	28	12500	0
2014-07-09	29	9560	0
2014-07-09	30	11510	0
2014-07-09	31	13260	0
2014-07-09	32	10720	0
2014-07-09	33	12770	0
2014-07-09	34	12850	0
2014-07-09	35	14130	0
2014-07-09	36	0	0
2014-07-09	37	0	0
2014-07-09	38	0	0
2014-07-09	39	0	0
2014-07-09	40	0	0
2014-07-09	41	0	0
2014-07-09	42	0	0
2014-07-09	43	0	0
2014-07-09	44	0	0
2014-07-09	45	0	0
2014-07-09	46	0	0
2014-07-09	47	0	0
2014-07-09	48	0	0
2014-07-09	49	0	0
2014-07-10	1	8380	0
2014-07-10	2	6490	0
2014-07-10	3	10890	0
2014-07-10	4	14030	0
2014-07-10	5	14380	0
2014-07-10	6	11960	0
2014-07-10	7	10860	0
2014-07-10	8	14060	0
2014-07-10	9	10600	0
2014-07-10	10	9650	0
2014-07-10	11	11620	0
2014-07-10	12	10800	0
2014-07-10	13	8980	0
2014-07-10	14	11200	0
2014-07-10	15	7620	0
2014-07-10	16	10760	0
2014-07-10	17	8380	0
2014-07-10	18	17720	0
2014-07-10	19	13250	0
2014-07-10	20	14460	0
2014-07-10	21	19410	0
2014-07-10	22	11810	0
2014-07-10	23	12880	0
2014-07-10	24	10150	0
2014-07-10	25	9240	0
2014-07-10	26	13750	0
2014-07-10	27	10570	0
2014-07-10	28	12500	0
2014-07-10	29	9560	0
2014-07-10	30	11510	0
2014-07-10	31	13260	0
2014-07-10	32	10720	0
2014-07-10	33	12770	0
2014-07-10	34	12850	0
2014-07-10	35	14130	0
2014-07-10	36	0	0
2014-07-10	37	0	0
2014-07-10	38	0	0
2014-07-10	39	0	0
2014-07-10	40	0	0
2014-07-10	41	0	0
2014-07-10	42	0	0
2014-07-10	43	0	0
2014-07-10	44	0	0
2014-07-10	45	0	0
2014-07-10	46	0	0
2014-07-10	47	0	0
2014-07-10	48	0	0
2014-07-10	49	0	0
2014-07-11	1	8380	0
2014-07-11	2	6490	0
2014-07-11	3	10890	0
2014-07-11	4	14030	0
2014-07-11	5	14380	0
2014-07-11	6	11960	0
2014-07-11	7	10860	0
2014-07-11	8	14060	0
2014-07-11	9	10670	0
2014-07-11	10	9650	0
2014-07-11	11	11620	0
2014-07-11	12	10800	0
2014-07-11	13	8980	0
2014-07-11	14	11200	0
2014-07-11	15	7620	0
2014-07-11	16	10760	0
2014-07-11	17	8380	0
2014-07-11	18	17720	0
2014-07-11	19	13250	0
2014-07-11	20	14460	0
2014-07-11	21	19410	0
2014-07-11	22	11810	0
2014-07-11	23	12880	0
2014-07-11	24	10150	0
2014-07-11	25	9240	0
2014-07-11	26	13750	0
2014-07-11	27	10570	0
2014-07-11	28	12500	0
2014-07-11	29	9560	0
2014-07-11	30	11510	0
2014-07-11	31	13260	0
2014-07-11	32	10720	0
2014-07-11	33	12770	0
2014-07-11	34	12850	0
2014-07-11	35	14130	0
2014-07-11	36	0	0
2014-07-11	37	0	0
2014-07-11	38	0	0
2014-07-11	39	0	0
2014-07-11	40	0	0
2014-07-11	41	0	0
2014-07-11	42	0	0
2014-07-11	43	0	0
2014-07-11	44	0	0
2014-07-11	45	0	0
2014-07-11	46	0	0
2014-07-11	47	0	0
2014-07-11	48	0	0
2014-07-11	49	0	0
2014-07-12	1	8380	0
2014-07-12	2	6490	0
2014-07-12	3	10890	0
2014-07-12	4	14030	0
2014-07-12	5	14380	0
2014-07-12	6	11960	0
2014-07-12	7	10860	0
2014-07-12	8	14060	0
2014-07-12	9	10670	0
2014-07-12	10	9650	0
2014-07-12	11	11620	0
2014-07-12	12	10800	0
2014-07-12	13	8980	0
2014-07-12	14	11200	0
2014-07-12	15	7620	0
2014-07-12	16	10760	0
2014-07-12	17	9620	0
2014-07-12	18	17720	0
2014-07-12	19	13250	0
2014-07-12	20	14460	0
2014-07-12	21	19410	0
2014-07-12	22	11810	0
2014-07-12	23	12880	0
2014-07-12	24	10150	0
2014-07-12	25	9240	0
2014-07-12	26	13750	0
2014-07-12	27	10570	0
2014-07-12	28	12500	0
2014-07-12	29	9560	0
2014-07-12	30	11510	0
2014-07-12	31	13260	0
2014-07-12	32	10720	0
2014-07-12	33	12770	0
2014-07-12	34	12850	0
2014-07-12	35	14130	0
2014-07-12	36	0	0
2014-07-12	37	0	0
2014-07-12	38	0	0
2014-07-12	39	0	0
2014-07-12	40	0	0
2014-07-12	41	0	0
2014-07-12	42	0	0
2014-07-12	43	0	0
2014-07-12	44	0	0
2014-07-12	45	0	0
2014-07-12	46	0	0
2014-07-12	47	0	0
2014-07-12	48	0	0
2014-07-12	49	0	0
2014-07-13	1	15430	0
2014-07-13	2	6490	0
2014-07-13	3	10890	0
2014-07-13	4	14030	0
2014-07-13	5	14380	0
2014-07-13	6	11960	0
2014-07-13	7	10860	0
2014-07-13	8	15230	0
2014-07-13	9	13200	0
2014-07-13	10	9650	0
2014-07-13	11	11620	0
2014-07-13	12	10800	0
2014-07-13	13	8980	0
2014-07-13	14	11200	0
2014-07-13	15	7620	0
2014-07-13	16	10760	0
2014-07-13	17	9620	0
2014-07-13	18	17720	0
2014-07-13	19	13250	0
2014-07-13	20	14460	0
2014-07-13	21	19410	0
2014-07-13	22	11810	0
2014-07-13	23	12880	0
2014-07-13	24	10150	0
2014-07-13	25	9240	0
